,track_uri,artist_uri,genres
142,7r4dwgu3hzR60pVulZ9IP9,2wY79sveU1sp5g7SokKOiI,"['pop', 'uk pop']"
143,5eiCYAQ7K7pob2Ev9nfBXO,6uAlmplr9znkwaYj3ysgLd,[]
144,7aiClxsDWFRQ0Kzk5KI5ku,2cFrymmkijnjDg9SS92EPM,['pop']
145,0AH6WMe3OlAlUb5miXt2FQ,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']"
146,6kX452oUUNojKWNNuc1nqx,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
147,2jB5EAMx9D5WeTbQyI8TWM,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
148,14hJ5tc1VCFMWhVn9axRTC,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']"
149,5OeFwHm8XB1ykVRW6zzVDI,64NYWpxh4HgzMb1SwCCjMw,['teen pop']
150,2CHk9VD0glOknemRMFEQfH,0sYpJ0nCC8AlDrZFeAA7ub,['k-pop']
151,5sVeJMHMfCWf2H6g66KQXz,5dCvSnVduaFleCnyy98JMo,"['k-pop', 'korean pop', 'korean r&b']"
152,1fMXWEkJpIH483OrKn1zFV,41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group', 'pop']"
153,4oxYCfnkQ866A0zSqFYhos,4tlEMWIEph0G9QsmLH6xKi,[]
154,6ZizEG2wtzeHrgKEv1eBmD,3Cv2vi3WTl8VZOTdrBkKdM,"['k-pop', 'k-pop girl group']"
155,782QoB4jJ7hEVJmkYzVrRE,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
156,4FCb4CUbFCMNRkI6lYc1zI,4iHNK0tOyZPYnBU7nGAgpQ,"['dance pop', 'pop', 'urban contemporary']"
157,19At6LETZAtcLsU8CzHdOw,2Ls6NaK9OMltk9EYI3UPcw,[]
158,7wTqEW5nrMhvyEhEyTnOMd,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop', 'pov: indie']"
159,55ZcA6PazdlXjE1jO5GrzJ,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
160,5qbWgH6xs6CUkua6tG2BNP,4owATw6JCMuUxeWdh3eiyg,"['lo-fi chill', 'sad lo-fi']"
161,7kTKAdVVlDxve6Qr7Hm7Qc,1BEohdSWSBggmO979tzRwW,"['k-pop', 'k-pop girl group']"
162,3wxISiy8s2huunhxBkTEhX,6nfN5B7Jmi853SHa9106Hz,"['black americana', 'contemporary country']"
